Rank 2018,Row Labels,2014,2015,2016,2017,2018,Grand Total,2014-2017 % Change,2016-2017 % Change,2017 - year to date % Change
194,Navy Yard,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
195,Normanstone Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
196,North Portal Estates,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
197,Oxon Run Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
198,Pepco Benning Road Plant,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
199,Pinehurst Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
200,Pope Branch Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
201,Poplar Point,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
202,Rock Creek Gardens,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
203,Rock Creek Park (north),0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
204,Rock Creek Park (south),0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
205,Shepherd Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
206,Sibley Hospital,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
207,Soapstone Valley Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
208,St. Elizabeths Hospital West,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
209,Stadium/Armory Area,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
210,Tidal Basin,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
211,Washington Hebrew Congregation Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
212,Washington Hospital Center,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
213,Washington Monument Grounds,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
214,Whitehaven Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
215,Woodlawn/Payne Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
216,Old Soldiers Home,1,0,0,0,0,1,-100,#DIV/0!,#DIV/0!
217,Rock Creek Cemetery,1,0,0,0,0,1,-100,#DIV/0!,#DIV/0!
